Company,Year,Url,Claim,Accusation,Company_description,Type,certificates,
P&G,2018,https://headandshoulders.com/en-us/whats-new/shampoo-bottles-made-from-recycled-plastic,"""THE WORLD'S FIRST RECYCLABLE SHAMPOO BOTTLE MADE FROM BEACH PLASTIC""","What is more, parent company P&G has consistently been named one of the top ten plastic polluters in Break Free From Plastic's brand audits, and pumps out millions of virgin plastic products a year. Head & Shoulders claims this product is recyclable, yet at the time of writing their website's sustainability section states that while all-white bottles can be recycled, they are still ""working on making our blue bottles, caps and pumps recyclable by 2030 or sooner"" - making the recyclability claim for this product false.","The Procter & Gamble Company provides branded consumer packaged goods worldwide. It operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments under the Head & Shoulders, Herbal Essences, Pantene, and Rejoice brands; and antiperspirants and deodorants, personal cleansing, and skin care products under the Olay, Old Spice, Safeguard, Secret, and SK-II brands. The Grooming segment provides shave care products and appliances under the Braun, Gillette, and Venus brand names. The Health Care segment offers toothbrushes, toothpastes, and other oral care products under the Crest and Oral-B brand names; and gastrointestinal, rapid diagnostics, respiratory, vitamins/minerals/supplements, pain relief, and other personal health care products under the Metamucil, Neurobion, Pepto-Bismol, and Vicks brands. The Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents under the Ariel, Downy, Gain, and Tide brands; and air care, dish care, P&G professional, and surface care products under the Cascade, Dawn, Fairy, Febreze, Mr. Clean, and Swiffer brands. The Baby, Feminine & Family Care segment offers baby wipes, taped diapers, and pants under the Luvs and Pampers brands; adult incontinence and feminine care products under the Always, Always Discreet, and Tampax brands; and paper towels, tissues, and toilet papers under the Bounty, Charmin, and Puffs brands. The company sells its products primarily through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, specialty beauty stores, high-frequency stores, pharmacies, electronics stores, and professional channels, as well as directly to consumers. The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio.",greenwash,,
Starbucks,2022,https://stories.starbucks.com/press/2020/starbucks-strawless-lids-now-available-across-the-u-s-and-canada/,"""Recyclable, strawless lids for customers across the U.S. and Canada is another step in our journey to reduce our environmental footprint""",,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks Coffee, Teavana, Seattle's Best Coffee, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington.",greenwash,,
Delta,2023,https://www.theguardian.com/environment/2023/may/30/delta-air-lines-lawsuit-carbon-neutrality-aoe," ""Delta is the world's first carbon-neutral airline.""","Delta faced a class action lawsuit challenging this claim, revealing that while they pledged billions for carbon offsetting, the actual environmental impact of their flights remained significant, undermining their carbon-neutral assertions.","Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St. Paul, Detroit, and Salt Lake City, as well as coastal hub positions in Boston, Los Angeles, New York-LaGuardia, New York-JFK, and Seattle; and international network centered on hubs and market presence in Amsterdam, Bogota, Lima, Mexico City, London-Heathrow, Paris-Charles de Gaulle, Sao Paulo, Seoul-Incheon, and Tokyo. The company sells its tickets through various distribution channels, including delta.com and the Fly Delta app; acts as a reservations specialists; and operates online travel and traditional brick and mortar agencies. It also provides aircraft maintenance and engineering support, repair, and overhaul services; and vacation packages to third-party consumers. The company operates through a fleet of approximately 1,273 aircrafts. Delta Air Lines, Inc. was founded in 1924 and is based in Atlanta, Georgia.",greenwash,,
Lufthansa,2023,https://www.bbc.com/news/business-67625200,"""Connecting the world, protecting its future""","The ASA found the ads misleading because Lufthansa did not provide concrete evidence of significant environmental efforts, despite their carbon-cutting goals for 2030 and carbon-neutral aspirations by 2050.","Deutsche Lufthansa AG operates as an aviation company worldwide. It operates in three segments: Passenger Airlines; Logistics; and Maintenance, Repair and Overhaul Services (MRO). The Passenger Airlines segment offers products and services to passengers of Lufthansa Airlines, SWISS, Austrian Airlines, Brussels Airlines, and Eurowings. Its Logistics segment offers airfreight container management, urgent shipments, and customs clearance services; and e-commerce solutions. The MRO segment provides maintenance, repair, and overhaul services for civil commercial aircraft serving original equipment manufacturers, aircraft leasing companies, operators of VIP jets, government, armed forces, and airlines. The company also offers corporate payment and billing services; vocational and professional training for cockpit and cabin crew; and IT solutions. As of December 31, 2023, it had a fleet of 721 aircraft. Deutsche Lufthansa AG was founded in 1926 and is headquartered in Cologne, Germany.",greenwash,,
Ethiad,2023,https://climatecasechart.com/non-us-case/asa-ruling-on-etihad-airways/," we’re taking a louder, bolder approach to sustainable aviation” in the body of the text and “… we’re cutting back on single-use plastics and are flying the most efficient planes. Flights with a smaller footprint … Environmental airline of the year",,"Founded in 2003, Etihad Airways is the national carrier of the emirate of Abu Dhabi, based at Abu Dhabi International Airport. Operating a fleet of narrow and wide-body Airbus and Boeing aircraft, Etihad provides a rapidly expanding network of services within the Middle East and to Africa, Europe, Asia, North America and Australia. In addition to its core activity of passenger transportation, Etihad earns significant revenue from its cargo operation, Etihad Cargo. Etihad Airways forms part of the Etihad Aviation Group.",greenwash,,
Etihad,2023,https://climatecasechart.com/non-us-case/asa-ruling-on-etihad-airways/," we’re taking a louder, bolder approach to sustainable aviation” in the body of the text, and “… you’ll earn Etihad Guest Miles every time you make a conscious choice for the planet … Environmental airline of the year","The ASA criticized Etihad for making broad claims without sufficient evidence, particularly omitting their long-term sustainability goals and relying on accolades that did not comprehensively justify the term ""sustainable aviation.""","Founded in 2003, Etihad Airways is the national carrier of the emirate of Abu Dhabi, based at Abu Dhabi International Airport. Operating a fleet of narrow and wide-body Airbus and Boeing aircraft, Etihad provides a rapidly expanding network of services within the Middle East and to Africa, Europe, Asia, North America and Australia. In addition to its core activity of passenger transportation, Etihad earns significant revenue from its cargo operation, Etihad Cargo. Etihad Airways forms part of the Etihad Aviation Group.",greenwash,,
Unilever,2022,https://www.bbc.com/news/business-62726666,"Advertised Persil, a laundry, detergent, as being ""tough on stains, kinder on the planet"" in their 'Dirt is Good' TV ads.","The ASA deemed the claims unclear and unsubstantiated, noting that the ads did not explain how Persil was environmentally friendlier, leaving the green credentials vague and unsupported.","Unilever PLC operates as a fast-moving consumer goods company in the Asia Pacific, Africa, the Americas, and Europe. It operates through five segments: Beauty & Wellbeing, Personal Care, Home Care, Nutrition, and Ice Cream. The Beauty & Wellbeing segment engages in the sale of hair care products, such as shampoo, conditioner, and styling; skin care products including face, hand, and body moisturizer; and prestige beauty and health & wellbeing products consist of the vitamins, minerals, and supplements. The Personal Care segment offers skin cleansing products comprising soap and shower; deodorants; and oral care products, such as toothpaste, toothbrush, and mouthwash products. The Home Care segment is involved in the sale of fabric care products, including washing powders and liquids, and rinse conditioners; and fabric enhancers, and home and hygiene products. The Nutrition segment provides dressings products, such as mayonnaise and ketchup; sells scratch cooking aids consist of soups, bouillons, and seasonings; plant-based meat; beverages; and functional nutrition products, including Horlicks and Boost, as well as tea products. The Ice Cream segment offers ice cream products including in-home and out-of-home ice creams. The company provides its products under the AXE, Ben & Jerry's, Cif, Clear, Closeup, Comfort, Cornetto, Dermalogica, Domestos, Dove, Dove Men+Care, Hellmann's, Horlicks, Knorr, LUX, Lifebuoy, Liquid I.V., Magnum, Nutrafol, OMO, Paula's Choice, Pepsodent, Pond's, Rexona, Rexona, Sunlight, Sunsilk, Surf, TRESemmé, Vaseline, Wall's, Breyers, and Yasso brand names. Unilever PLC was founded in 1860 and is headquartered in London, the United Kingdom.",greenwash,,
Keurig,2022,https://ecojustice.ca/news/keurigs-3-million-fine-highlights-the-pervasive-issue-of-greenwashing/,Claims their single-use plastic coffee pods are easily recyclable.,"The Competition Bureau in Canada found these claims misleading as most recycling centers did not accept the pods, resulting in a $3 million fine and an order for Keurig to correct their packaging information.","Keurig Dr Pepper Inc. owns, manufactures, and distributors beverages and single serve brewing systems in the United States and internationally. It operates through three segments: U.S. Refreshment Beverages, U.S. Coffee, and International. The U.S. Refreshment Beverages segment manufactures and distributes branded concentrates, syrup, and finished beverages. Its U.S. Coffee segment offers finished goods relating to K-Cup pods, single serve brewers, specialty coffee, and ready to drink coffee products through Keurig.com website. The International segment provides sales in Canada, Mexico, the Caribbean, and other international markets from the manufacture and distribution of branded concentrates, syrup, and finished beverages; and sales in Canada from the manufacture and distribution of finished goods relating to the Company's single serve brewers, KCup pods, and other coffee products. It serves retailers, third-party bottlers and distributors, retail partners, hotel chains, office coffee distributors, and end-use consumers. The company offers its products under the Dr Pepper, Canada Dry, Green Mountain Coffee Roasters, Snapple, Mott's, The Original Donut Shop, Clamato, and Core Hydration brand name. Keurig Dr Pepper Inc. was founded in 1981 and is headquartered in Burlington, Massachusetts.",greenwash,,
Amazon,2022,https://www.telegraph.co.uk/news/2022/12/31/amazon-accused-grotesque-greenwashing-eco-friendly-products/,"Marketed a range of products labeled ""Aware"".","The Telegraph revealed that these products were wrapped in single-use plastic and traveled long distances, undermining the carbon-neutral claims and highlighting the gap between Amazon's marketing and their actual environmental practices.","Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Echo, Ring, Blink, and eero; and develops and produces media content. In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, it provides compute, storage, database, analytics, machine learning, and other services, as well as advertising services through programs, such as sponsored ads, display, and video advertising. Additionally, the company offers Amazon Prime, a membership program. The company's products offered through its stores include merchandise and content purchased for resale and products offered by third-party sellers. It serves consumers, sellers, developers, enterprises, content creators, advertisers, and employees. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.",greenwash,,
reynoldsconsumerproducts,2021,https://topclassactions.com/lawsuit-settlements/consumer-products/food/hefty-marketing-of-recycling-bags-that-arent-recyclable-class-action-lawsuit/,Promoted Hefty Recycling Bags as capable of handling any recyclable item.,"A class-action lawsuit revealed that the bags were not recyclable themselves and often contaminated the recycling stream, causing more harm than good, violating California's anti-greenwashing laws.","Reynolds Consumer Products Inc. manufactures and distributes household packaging products. The Company offers preparation, cooking, cleanup, and storage solutions such as aluminum foils, plastic wrap, oven bags, and slow cooker liners. Reynolds Consumer Products serves customers worldwide.",greenwash,,
Windex,2021,https://galtonbrands.com/branding/greenwashing/,"Claimed their bottles were made from 100% recycled ocean plastic. In an image showing a  plastic spray bottle of Windex cleaner in front of a pile of colorful plastic bottles. The pile of plastic bottles is submerged in water, suggesting it is ocean plastic.","Environmental groups pointed out that the bottles were made from ocean-bound plastic waste, not actual recycled ocean plastic, which misled consumers about the true nature of the materials used.","Today, SC Johnson is one of the world's leading manufacturers of household cleaning products and products for home storage, air care, pest control and shoe care, as well as professional products. Families around the globe trust our winning brands, which include Autan®, Baygon®, Glade®, Kiwi®, Method®, Mr Muscle®, Windex®.",greenwash,,
H&M,2021,https://goodonyou.eco/greenwashing-examples/,"H&M announced its new sustainability ambassador, Maisie Williams, and launched “Looop Island” on the Nintendo game Animal Crossing to promote its in-store recycling machine.","The Changing Markets Foundation reported that most of these claims were unsubstantiated, highlighting the significant gap between H&M's marketing and the actual environmental impact of their products.","Hennes & Mauritz AB engages in the sale of clothing, accessories, footwear, cosmetics, and home textiles. The company products include accessories, underwear, cosmetics, sportswear, and other apparels for men, women, and kids. Its brands include H&M, COS, Monki, Weekday, & Other Stories, Cheap Monday, H&M Home, and ARKET. The company was founded by Erling Persson in 1947 and is headquartered in Stockholm, Sweden.",greenwash,,
Shein,2023,https://contemporaryfashion.com/stories/evolushien-the-rise-of-greenwashing/,"EvoluSHEIN is Shein’s first ‘sustainable’ clothing collection. According to the brand, this is “a purpose-driven collection with a positive vision for the future."" On their website, they have stated that these garments are made from recycled materials, sent to customers in 100% recycled packaging","Critics argued that Shein's fast fashion model inherently contradicted sustainability, making their eco-friendly claims appear superficial and insincere.","Shein is a fast fashion retailer. Founded in Nanjing, China, in October 2008 as ZZKKO by entrepreneur Chris Xu, Shein grew to become the world's largest fashion retailer as of 2022. The company is currently headquartered in Singapore. Known for selling relatively inexpensive apparel, Shein's success has been credited to its popularity among Generation Z consumers. The company was initially compared to a drop shipping business, as it was not involved in design and manufacturing, instead sourcing products from the wholesale clothing market in Guangzhou.Beginning in 2012, Shein began to establish its own supply chain system, transforming itself into a fully integrated retailer.The company has established its supply chain in Guangzhou with a network of more than 3,000 suppliers as of 2022",greenwash,,
Boohoo,2023,https://www.gov.uk/cma-cases/asos-boohoo-and-asda-greenwashing-investigation,Launched a sustainable fashion campaign with Kourtney Kardashian as the face.,"Critics, including Zerrin, pointed out that Boohoo's use of recycled materials did not address the overall unsustainable nature of their fast fashion production, making their green claims appear superficial.","boohoo group plc, through its subsidiaries, operates as an online clothing retailer in the United Kingdom, rest of Europe, the United States, and internationally. The company designs, sources, markets, and sells fashion clothing, home and beauty products, shoes, and accessories for 16-to-60+ year age customers. It provides its products under the boohoo, boohooMAN, PrettyLittleThing, Nasty Gal, MissPap, Karen Millen, coast, Oasis, Warehouse, Dorothy Perkins, Wallis, Burton London, and Debenhams brands. boohoo group plc was founded in 2006 and is headquartered in Manchester, the United Kingdom.",greenwash,,
DBS,2023,https://intelligence.weforum.org/monitor/latest-knowledge/a1a4237009f14b39b21f5a62ad2b4974,"""More like an eco-warrior, less like a bank"" promotional tagline","CEO Piyush Gupta's defense of financing coal due to energy poverty clashed with DBS's advertised environmental commitments, drawing criticism for using social issues as an excuse to delay climate action.","DBS Group Holdings Ltd provides commercial banking and financial services in Singapore, Hong Kong, rest of Greater China, South and Southeast Asia, and internationally. The company's Consumer Banking/Wealth Management segment offers banking and related financial services, including current and savings accounts, fixed deposits, loans and home finance, cards, payments, investment, and insurance products for individual customers. Its Institutional Banking segment provides financial services and products for bank and non-bank financial institutions, government-linked companies, large corporates, and small and medium sized businesses. Its products and services comprise short-term working capital financing and specialized lending; cash management, trade finance, and securities and fiduciary services; treasury and markets products; and corporate finance and advisory banking, as well as capital markets solutions. The company's Treasury Markets segment is involved in the structuring, market-making, and trading in a range of treasury products. DBS Group Holdings Ltd was founded in 1968 and is headquartered in Singapore.",greenwash,,
Shell,2023,https://www.fnlondon.com/articles/shell-petronas-repsol-ads-banned-over-greenwashing-20230607,"""1.4 million households in the UK use 100% renewable energy from Shell, that its experts were working on a wind project that could power six million homes and that it is fitting 50,000 electric vehicle chargers nationwide by 2025. ""The UK is READY for cleaner energy"" and the hashtag “#PoweringProgress” flashed onscreen in the closing shots of the ads, accompanied by the Shell logo.","Shell's significant CO2 emissions and reliance on fossil fuels undermined their green marketing, leading to criticism and legal rulings demanding substantial emission reductions.","Shell plc operates as an energy and petrochemical company Europe, Asia, Oceania, Africa, the United States, and Rest of the Americas. The company operates through Integrated Gas, Upstream, Marketing, Chemicals and Products, and Renewables and Energy Solutions segments. It explores for and extracts crude oil, natural gas, and natural gas liquids; markets and transports oil and gas; produces gas-to-liquids fuels and other products; and operates upstream and midstream infrastructure to deliver gas to market. The company also markets and trades natural gas, liquefied natural gas (LNG), crude oil, electricity, carbon-emission rights; and markets and sells LNG as a fuel for heavy-duty vehicles. In addition, it trades in and refines crude oil and other feed stocks, such as low-carbon fuels, lubricants, bitumen, sulphur, gasoline, diesel, aviation fuel, and marine fuel; produces and sells petrochemicals for industrial use; and manages oil sands activities. Further, the company produces base chemicals comprising ethylene, propylene, and aromatics, as well as intermediate chemicals, such as styrene monomer, propylene oxide, solvents, detergent alcohols, ethylene oxide, and ethylene glycol. Additionally, it generates electricity through wind and solar resources; produces and sells hydrogen; and provides electric vehicle charging services. The company was formerly known as Royal Dutch Shell plc and changed its name to Shell plc in January 2022. Shell plc was founded in 1907 and is headquartered in London, the United Kingdom.",greenwash,,
